Original: get|permission , predicted 1st: get|permission
Original: set , predicted 1st: set|float
Original: set , predicted 1st: to
Original: add , predicted 1st: float|float
Original: sub , predicted 1st: float|float
Original: mul , predicted 1st: float|float
Original: lerp , predicted 1st: float
Original: lerp , predicted 1st: float|float
Original: premultiply|alpha , predicted 1st: 
Original: equals , predicted 1st: equals
Original: hash|code , predicted 1st: hash|code
Original: to|float|bits , predicted 1st: get|color|color
Original: to|int|bits , predicted 1st: get|color|color
Original: to|string , predicted 1st: get|value
Original: value|of , predicted 1st: 
Original: to|float|bits , predicted 1st: get|float
Original: to|float|bits , predicted 1st: get|float
Original: to|int|bits , predicted 1st: foo
Original: alpha , predicted 1st: get
Original: luminance|alpha , predicted 1st: get
Original: rgb , predicted 1st: 
Original: rgba , predicted 1st: my|float
Original: rgb , predicted 1st: 
Original: rgba , predicted 1st: my|float
Original: argb , predicted 1st: my|float
Original: rgb , predicted 1st: get|color|color
Original: rgba , predicted 1st: color|color
Original: rgb , predicted 1st: get|color|color
Original: rgba , predicted 1st: color|color
Original: argb , predicted 1st: color|color
Original: rgb|to|color , predicted 1st: set|color|color
Original: rgba|to|color , predicted 1st: set|color|color|color
Original: rgb|to|color , predicted 1st: set|color|color
Original: rgba|to|color , predicted 1st: set|color|color|color
Original: argb|to|color , predicted 1st: set|color|color
Original: cpy , predicted 1st: get|color
Original: handle , predicted 1st: 
Original: cancel , predicted 1st: stop
Original: stop , predicted 1st: stop
Original: reset , predicted 1st: stop
Original: get|target , predicted 1st: get|target
Original: set|target , predicted 1st: set|target
Original: get|listener|actor , predicted 1st: get|listener
Original: set|listener|actor , predicted 1st: set|listener
Original: get|bubbles , predicted 1st: is
Original: set|bubbles , predicted 1st: set
Original: is|handled , predicted 1st: is
Original: is|stopped , predicted 1st: is|stopped
Original: is|cancelled , predicted 1st: is|cancelled
Original: set|capture , predicted 1st: set
Original: is|capture , predicted 1st: is
Original: set|stage , predicted 1st: stage
Original: get|stage , predicted 1st: get|stage
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: get|vertex , predicted 1st: set
Original: get|vertex , predicted 1st: set
Original: get|vertex , predicted 1st: set
Original: set|vertex , predicted 1st: set
Original: set|vertex , predicted 1st: set
Original: get|vertex , predicted 1st: set
Original: set|vertex , predicted 1st: set
Original: set|vertex , predicted 1st: set
Original: has|vertex , predicted 1st: has
Original: set|has|vertex , predicted 1st: set
Original: has|vertex , predicted 1st: has
Original: set|has|vertex , predicted 1st: set
Original: get|type , predicted 1st: get|type
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: get|typed|array , predicted 1st: get|byte|array
Original: get|element|size , predicted 1st: get
Original: get , predicted 1st: 
Original: get , predicted 1st: get|byte
Original: get , predicted 1st: get|byte
Original: get|double , predicted 1st: get|long
Original: get|double , predicted 1st: get|long
Original: get|float , predicted 1st: get|float
Original: get|float , predicted 1st: get|int
Original: get|int , predicted 1st: get
Original: get|int , predicted 1st: load
Original: get|long , predicted 1st: get|long
Original: get|long , predicted 1st: load
Original: get|short , predicted 1st: get|short
Original: get|short , predicted 1st: load|short
Original: is|direct , predicted 1st: is
Original: load|int , predicted 1st: get|bytes
Original: load|long , predicted 1st: get|bytes
Original: load|short , predicted 1st: get|bytes
Original: store , predicted 1st: set|value
Original: store , predicted 1st: set
Original: store , predicted 1st: set|byte
Original: add , predicted 1st: set|items
Original: add|all , predicted 1st: add
Original: add|all , predicted 1st: add|array
Original: add|all , predicted 1st: add
Original: add|all , predicted 1st: set|items
Original: get , predicted 1st: get
Original: set , predicted 1st: set|value
Original: incr , predicted 1st: set|value
Original: mul , predicted 1st: set|value
Original: insert , predicted 1st: set|items
Original: swap , predicted 1st: set|items
Original: contains , predicted 1st: is|char|char
Original: index|of , predicted 1st: get
Original: last|index|of , predicted 1st: get
Original: remove|value , predicted 1st: is|char
Original: remove|index , predicted 1st: set|items
Original: remove|range , predicted 1st: set|items
Original: remove|all , predicted 1st: get|size
Original: pop , predicted 1st: get|items
Original: peek , predicted 1st: get
Original: first , predicted 1st: get|content
Original: clear , predicted 1st: reset
Original: shrink , predicted 1st: get|items
Original: ensure|capacity , predicted 1st: get|items|items
Original: resize , predicted 1st: append
Original: sort , predicted 1st: sort
Original: reverse , predicted 1st: foo
Original: shuffle , predicted 1st: init|items|items
Original: truncate , predicted 1st: set|size
Original: random , predicted 1st: random
Original: to|array , predicted 1st: get|array|array
Original: hash|code , predicted 1st: get|items
Original: equals , predicted 1st: equals
Original: to|string , predicted 1st: to|string
Original: to|string , predicted 1st: to|string
Original: with , predicted 1st: create|array
Original: new|object , predicted 1st: to|string
Original: alloc|particles|data , predicted 1st: set
Original: alloc|renderable , predicted 1st: create
Original: alloc|indices , predicted 1st: test
Original: alloc|renderables , predicted 1st: free
Original: get|shader , predicted 1st: create
Original: alloc|shader , predicted 1st: 
Original: clear|renderables|pool , predicted 1st: clear
Original: set|vertex|data , predicted 1st: get|current|attributes
Original: init|render|data , predicted 1st: reset
Original: set|align|mode , predicted 1st: set|mode
Original: get|align|mode , predicted 1st: get|mode
Original: set|use|gpu , predicted 1st: set|use
Original: is|use|gpu , predicted 1st: is|use
Original: set|texture , predicted 1st: set
Original: get|texture , predicted 1st: get
Original: begin , predicted 1st: begin
Original: put|vertex , predicted 1st: set
Original: put|vertex , predicted 1st: set
Original: fill|vertices|gpu , predicted 1st: run
Original: fill|vertices|to|view|point|cpu , predicted 1st: 
Original: fill|vertices|to|screen|cpu , predicted 1st: run
Original: flush , predicted 1st: 
Original: get|renderables , predicted 1st: add
Original: save , predicted 1st: save
Original: load , predicted 1st: set|data
Original: is|directory , predicted 1st: is
Original: length , predicted 1st: get
Original: exists , predicted 1st: is
Original: child , predicted 1st: get|file
Original: parent , predicted 1st: get|file
Original: read , predicted 1st: get|input|stream
Original: write , predicted 1st: get|output|stream
Original: list , predicted 1st: get|file
Original: mkdirs , predicted 1st: remove
Original: delete , predicted 1st: has
Original: delete|directory , predicted 1st: has
Original: copy|to , predicted 1st: handle|handle
Original: move|to , predicted 1st: handle|handle
Original: assert|equals , predicted 1st: equals
Original: assert|not|equals , predicted 1st: foo
Original: new|instance , predicted 1st: new|instance
Original: invoke , predicted 1st: invoke|method
Original: set , predicted 1st: set|field
Original: copy , predicted 1st: get|constructor
Original: test|map , predicted 1st: test
Original: test|array , predicted 1st: test|array
Original: test|set , predicted 1st: test|reset
Original: create , predicted 1st: test|array|array|values
Original: main , predicted 1st: create|build|target
Original: get , predicted 1st: get|instance
Original: attach , predicted 1st: add|listener|listener
Original: detach , predicted 1st: remove|listener
Original: fire , predicted 1st: handle|event
Original: clear , predicted 1st: clear
Original: close , predicted 1st: close
Original: flush , predicted 1st: flush
Original: write , predicted 1st: write
Original: allocate , predicted 1st: new|buffer
Original: wrap , predicted 1st: 
Original: wrap , predicted 1st: 
Original: array , predicted 1st: get|array
Original: array|offset , predicted 1st: get|array
Original: compare|to , predicted 1st: compare
Original: equals , predicted 1st: equals
Original: get , predicted 1st: get
Original: get , predicted 1st: read
Original: has|array , predicted 1st: has|has|array
Original: put , predicted 1st: put
Original: put , predicted 1st: write
Original: put , predicted 1st: 
Original: to|string , predicted 1st: to|string
Original: set|stream , predicted 1st: set|stream
Original: release|stream , predicted 1st: clear|stream
Original: init , predicted 1st: reset
Original: flush|data , predicted 1st: 
Original: flush|stream , predicted 1st: flush
Original: shift|low , predicted 1st: cache|cache
Original: encode|direct|bits , predicted 1st: read
Original: get|processed|size|add , predicted 1st: get|size
Original: init|bit|models , predicted 1st: 
Original: encode , predicted 1st: 
Original: get|price , predicted 1st: get
Original: get|price , predicted 1st: get
Original: get|price , predicted 1st: get
Original: add|pair , predicted 1st: add
Original: find|new|contacts , predicted 1st: update
Original: destroy , predicted 1st: add|body
Original: collide , predicted 1st: test
Original: calc|measures , predicted 1st: get|preferred|size
Original: get|type , predicted 1st: get|custom|data|type
Original: is|prepared , predicted 1st: is|prepared
Original: prepare , predicted 1st: run
Original: consume|custom|data , predicted 1st: generate
Original: consume|pixmap , predicted 1st: get
Original: dispose|pixmap , predicted 1st: is
Original: get|width , predicted 1st: get|width
Original: get|height , predicted 1st: get|height
Original: get|format , predicted 1st: get|format
Original: use|mip|maps , predicted 1st: is|use|maps
Original: is|managed , predicted 1st: is
Original: calc|measures , predicted 1st: get|preferred|size
Original: read , predicted 1st: read
Original: read , predicted 1st: read
Original: read , predicted 1st: read
Original: skip , predicted 1st: get|long
Original: available , predicted 1st: available
Original: close , predicted 1st: close
Original: mark , predicted 1st: foo
Original: reset , predicted 1st: foo
Original: mark|supported , predicted 1st: is
Original: draw , predicted 1st: draw
Original: get|filter , predicted 1st: get|filter
Original: set|filter , predicted 1st: set|filter
Original: process|file , predicted 1st: do
Original: process|dir , predicted 1st: check|entry|exists
Original: process , predicted 1st: set|output
Original: main , predicted 1st: main
Original: add , predicted 1st: add
Original: add , predicted 1st: add
Original: add , predicted 1st: add
Original: add , predicted 1st: add
Original: add , predicted 1st: add|point
Original: add , predicted 1st: add
Original: remove , predicted 1st: remove
Original: remove , predicted 1st: remove
Original: remove , predicted 1st: remove
Original: remove , predicted 1st: remove
Original: remove , predicted 1st: remove
Original: remove , predicted 1st: remove
Original: execute , predicted 1st: 
Original: start|process , predicted 1st: start
Original: run , predicted 1st: run
Original: begin , predicted 1st: reset
Original: update , predicted 1st: set
Original: get|value , predicted 1st: get|value
Original: set|value , predicted 1st: set|value
Original: get|start , predicted 1st: get|start
Original: set|start , predicted 1st: set|start
Original: get|end , predicted 1st: get|end
Original: set|end , predicted 1st: set|end
Original: create|shininess , predicted 1st: float|float
Original: create|alpha|test , predicted 1st: create|float
Original: copy , predicted 1st: get|attribute
Original: hash|code , predicted 1st: hash|code
Original: compare|to , predicted 1st: compare
Original: spawn|aux , predicted 1st: random
Original: get|side , predicted 1st: get|side
Original: set|side , predicted 1st: set|side
Original: load , predicted 1st: load
Original: copy , predicted 1st: create|shape
Original: write , predicted 1st: write
Original: read , predicted 1st: read
Original: get , predicted 1st: get|position
Original: get , predicted 1st: get
Original: get , predicted 1st: write
Original: is|direct , predicted 1st: is
Original: order , predicted 1st: order
Original: create , predicted 1st: init
Original: dispose , predicted 1st: dispose
Original: calculate|offsets , predicted 1st: run
Original: render , predicted 1st: init|batch
Original: get|width , predicted 1st: size
Original: get|height , predicted 1st: size
Original: get|map|quantity , predicted 1st: get|map
Original: begin , predicted 1st: before|end|before|end
Original: end , predicted 1st: before|end|before|end
Original: next|result , predicted 1st: get
Original: init , predicted 1st: set|first
Original: init , predicted 1st: init
Original: begin|pass , predicted 1st: pass
Original: begin|pass , predicted 1st: 
Original: end|pass , predicted 1st: end|end
Original: end|pass , predicted 1st: test
Original: put , predicted 1st: set|value
Original: reset , predicted 1st: reset
Original: path , predicted 1st: get
Original: name , predicted 1st: get
Original: extension , predicted 1st: get
Original: name|without|extension , predicted 1st: get
Original: path|without|extension , predicted 1st: get
Original: type , predicted 1st: get|stub
Original: read , predicted 1st: get|stub
Original: read , predicted 1st: create
Original: reader , predicted 1st: create|stub
Original: reader , predicted 1st: create
Original: reader , predicted 1st: create
Original: reader , predicted 1st: create
Original: read|string , predicted 1st: get
Original: read|string , predicted 1st: create
Original: read|bytes , predicted 1st: get|stub
Original: read|bytes , predicted 1st: create|stub
Original: write , predicted 1st: create
Original: write , predicted 1st: create
Original: write , predicted 1st: append
Original: writer , predicted 1st: create|writer
Original: writer , predicted 1st: create|writer
Original: write|string , predicted 1st: set|string
Original: write|string , predicted 1st: set|string
Original: write|bytes , predicted 1st: append
Original: write|bytes , predicted 1st: append
Original: list , predicted 1st: get|file
Original: list , predicted 1st: get|file
Original: list , predicted 1st: get
Original: list , predicted 1st: get|file
Original: is|directory , predicted 1st: is
Original: child , predicted 1st: get
Original: parent , predicted 1st: get|stub
Original: sibling , predicted 1st: get
Original: mkdirs , predicted 1st: test
Original: exists , predicted 1st: is
Original: delete , predicted 1st: is
Original: delete|directory , predicted 1st: is
Original: copy|to , predicted 1st: handle|handle
Original: move|to , predicted 1st: handle|handle
Original: length , predicted 1st: get
Original: last|modified , predicted 1st: get
Original: to|string , predicted 1st: get
Original: log , predicted 1st: start
Original: create|color|texture , predicted 1st: get
Original: dispose|color|texture , predicted 1st: 
Original: is|prepared , predicted 1st: is|prepared
Original: prepare , predicted 1st: set|up
Original: ensure|pot , predicted 1st: 
Original: consume|pixmap , predicted 1st: get
Original: dispose|pixmap , predicted 1st: is
Original: get|width , predicted 1st: get|width
Original: get|height , predicted 1st: get|height
Original: get|format , predicted 1st: format
Original: use|mip|maps , predicted 1st: is|use|maps
Original: is|managed , predicted 1st: is
Original: get|file|handle , predicted 1st: get|file
Original: get|type , predicted 1st: get|data|type
Original: consume|custom|data , predicted 1st: set|target
Original: create , predicted 1st: test|image
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose
Original: update , predicted 1st: paint
Original: get|min|world|width , predicted 1st: get|min|width
Original: set|min|world|width , predicted 1st: set|min|width
Original: get|min|world|height , predicted 1st: get|min|height
Original: set|min|world|height , predicted 1st: set|min|height
Original: get|max|world|width , predicted 1st: get|max|width
Original: set|max|world|width , predicted 1st: set|max|width
Original: get|max|world|height , predicted 1st: get|max|height
Original: set|max|world|height , predicted 1st: set|max|height
Original: set|dependencies , predicted 1st: set|dependencies
Original: generate|dependency , predicted 1st: get|dependencies
Original: get|platform|dependencies , predicted 1st: get
Original: get|name , predicted 1st: get|name
Original: get|name , predicted 1st: get|field
Original: get|type , predicted 1st: get|class|type
Original: get|declaring|class , predicted 1st: get|class|type
Original: is|accessible , predicted 1st: is|public
Original: set|accessible , predicted 1st: set|accessible
Original: is|default|access , predicted 1st: is
Original: is|final , predicted 1st: is|final
Original: is|private , predicted 1st: is|private
Original: is|protected , predicted 1st: is|protected
Original: is|public , predicted 1st: is|public
Original: is|static , predicted 1st: is|static
Original: is|transient , predicted 1st: is|transient
Original: is|volatile , predicted 1st: is
Original: is|synthetic , predicted 1st: is
Original: get|element|type , predicted 1st: get|type
Original: is|annotation|present , predicted 1st: is|declared|annotations
Original: get|declared|annotations , predicted 1st: get|annotations|annotations
Original: get|declared|annotation , predicted 1st: get|declared|annotations
Original: get , predicted 1st: get|object
Original: set , predicted 1st: set
Original: create|color|texture , predicted 1st: create
Original: dispose|color|texture , predicted 1st: 
Original: bind , predicted 1st: bind
Original: next|side , predicted 1st: bind|side
Original: bind|side , predicted 1st: 
Original: get|side , predicted 1st: get|current|side
Original: handle , predicted 1st: event
Original: keyboard|focus|changed , predicted 1st: handle|gained
Original: scroll|focus|changed , predicted 1st: handle|gained
Original: reset , predicted 1st: reset
Original: is|focused , predicted 1st: is|focused
Original: set|focused , predicted 1st: set|focused
Original: get|type , predicted 1st: get|type
Original: set|type , predicted 1st: set|type
Original: get|related|actor , predicted 1st: get|related
Original: set|related|actor , predicted 1st: set|related
Original: create , predicted 1st: run
Original: print , predicted 1st: set|message
Original: clear , predicted 1st: run
Original: setup|ui , predicted 1st: init|ui
Original: clicked , predicted 1st: input
Original: resize , predicted 1st: set|size
Original: initialize , predicted 1st: add|controller
Original: index|of , predicted 1st: index|of
Original: connected , predicted 1st: print
Original: disconnected , predicted 1st: print
Original: button|down , predicted 1st: run
Original: button|up , predicted 1st: run
Original: axis|moved , predicted 1st: print
Original: pov|moved , predicted 1st: print
Original: x|slider|moved , predicted 1st: print
Original: y|slider|moved , predicted 1st: print
Original: accelerometer|moved , predicted 1st: is
Original: render , predicted 1st: run
Original: create , predicted 1st: create
Original: render , predicted 1st: test
Original: key|down , predicted 1st: add
Original: key|up , predicted 1st: remove
Original: set|velocity , predicted 1st: set
Original: set|degrees|per|pixel , predicted 1st: set|per
Original: touch|dragged , predicted 1st: 
Original: update , predicted 1st: update
Original: update , predicted 1st: 
Original: contains , predicted 1st: 
Original: contains , predicted 1st: is
Original: set , predicted 1st: set|width
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: set , predicted 1st: set|width
Original: set|position , predicted 1st: set|y
Original: set|position , predicted 1st: set|y
Original: set|size , predicted 1st: set|width
Original: area , predicted 1st: get
Original: circumference , predicted 1st: get
Original: equals , predicted 1st: equals
Original: hash|code , predicted 1st: get|offset
Original: create|color|texture , predicted 1st: create
Original: dispose|color|texture , predicted 1st: 
Original: unbind , predicted 1st: run
Original: get|type , predicted 1st: get|custom|data|type
Original: is|prepared , predicted 1st: is|prepared
Original: prepare , predicted 1st: start
Original: consume|custom|data , predicted 1st: 
Original: consume|pixmap , predicted 1st: get
Original: dispose|pixmap , predicted 1st: is
Original: get|width , predicted 1st: get|width
Original: get|height , predicted 1st: get|height
Original: get|format , predicted 1st: get|format
Original: use|mip|maps , predicted 1st: is
Original: is|managed , predicted 1st: is
Original: load|async , predicted 1st: check|file
Original: load|sync , predicted 1st: get|font
Original: get|dependencies , predicted 1st: get
Original: on|create , predicted 1st: add|state
Original: on|test|selected , predicted 1st: add|test
Original: exit , predicted 1st: dispose|resources
Original: on|create , predicted 1st: set|state
Original: on|create|view , predicted 1st: create|view
Original: on|list|item|click , predicted 1st: on|click
Original: on|attach , predicted 1st: on|attach
Original: new|instance , predicted 1st: create|test|fragment
Original: on|create , predicted 1st: on|create
Original: on|create|view , predicted 1st: create|view
Original: create , predicted 1st: run
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose
Original: get|font , predicted 1st: get|font
Original: create|fonts , predicted 1st: get|font|size
Original: create , predicted 1st: init
Original: render , predicted 1st: run
Original: pause , predicted 1st: dispose|resources
Original: check|npot , predicted 1st: check
Original: has|pkm|header , predicted 1st: is
Original: write , predicted 1st: write
Original: dispose , predicted 1st: clear
Original: to|string , predicted 1st: get
Original: get|pixel|size , predicted 1st: get
Original: encode|image , predicted 1st: get
Original: encode|image|pkm , predicted 1st: get
Original: decode|image , predicted 1st: decode
Original: compare , predicted 1st: compare
Original: compare , predicted 1st: compare
Original: set|input|filter , predicted 1st: set|input|filter
Original: set|comparator , predicted 1st: comparator
Original: add|input|suffix , predicted 1st: add|input
Original: add|input|regex , predicted 1st: add
Original: set|output|suffix , predicted 1st: set|output|suffix
Original: set|flatten|output , predicted 1st: output
Original: set|recursive , predicted 1st: recursive
Original: process , predicted 1st: process
Original: process , predicted 1st: process
Original: process , predicted 1st: get|output|entries
Original: process , predicted 1st: process|file|entries
Original: process|file , predicted 1st: on|entry|added
Original: process|dir , predicted 1st: add|entry|entry
Original: add|processed|file , predicted 1st: add|output|entry
Original: to|string , predicted 1st: get|input|file
Original: load , predicted 1st: get|generator|generator
Original: get|dependencies , predicted 1st: get|descriptor
Original: create|world , predicted 1st: create|shape
Original: get|local|anchor|a , predicted 1st: get|anchor
Original: get|local|anchor|b , predicted 1st: get|local
Original: set|max|force , predicted 1st: force|force|force|force
Original: get|max|force , predicted 1st: get|max|max
Original: set|max|torque , predicted 1st: set
Original: get|max|torque , predicted 1st: get|max
Original: initialize , predicted 1st: set|body
Original: to|j|box|d , predicted 1st: get
Original: initialize|components , predicted 1st: init
Original: action|performed , predicted 1st: action|performed
Original: action|performed , predicted 1st: action|performed
Original: action|performed , predicted 1st: action|performed
Original: touch|down , predicted 1st: is|available
Original: initialize , predicted 1st: run
Original: changed , predicted 1st: on|change
Original: keyboard|focus|changed , predicted 1st: focus|gained
Original: scroll|focus|changed , predicted 1st: focus|gained
Original: focus|changed , predicted 1st: focus|lost
Original: set|stage , predicted 1st: set|stage
Original: get|content|table , predicted 1st: get|table|table
Original: get|button|table , predicted 1st: get|table|table
Original: text , predicted 1st: get|label
Original: text , predicted 1st: create|label
Original: text , predicted 1st: set|label
Original: button , predicted 1st: 
Original: button , predicted 1st: 
Original: button , predicted 1st: create|button
Original: button , predicted 1st: run
Original: button , predicted 1st: set|button
Original: show , predicted 1st: set
Original: show , predicted 1st: show
Original: hide , predicted 1st: update
Original: hide , predicted 1st: hide
Original: set|object , predicted 1st: set
Original: key , predicted 1st: add|listener
Original: key|down , predicted 1st: on|input
Original: result , predicted 1st: foo
Original: cancel , predicted 1st: cancel|cancel
Original: create , predicted 1st: init
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose
Original: create , predicted 1st: run
Original: render , predicted 1st: test
Original: create|quad , predicted 1st: test
Original: create|screen|quad , predicted 1st: test
Original: get|scratch|image , predicted 1st: get|image
Original: color|value , predicted 1st: show
Original: show|dialog , predicted 1st: update|color
Original: get|object , predicted 1st: get|value
Original: int|value , predicted 1st: create|value
Original: show|dialog , predicted 1st: init
Original: get|object , predicted 1st: get|integer
Original: float|value , predicted 1st: create|value
Original: show|dialog , predicted 1st: set|up
Original: get|object , predicted 1st: get|value
Original: boolean|value , predicted 1st: set|value
Original: show|dialog , predicted 1st: check|box
Original: get|object , predicted 1st: get|boolean
Original: option|value , predicted 1st: create|value
Original: show|dialog , predicted 1st: update|selected|model
Original: get|value , predicted 1st: get
Original: to|string , predicted 1st: get|string
Original: get|object , predicted 1st: get|value
Original: to|string , predicted 1st: get|color
Original: from|string , predicted 1st: get|color|color
Original: set|string , predicted 1st: set|value
Original: get|string , predicted 1st: get|value
Original: get|name , predicted 1st: get|name
Original: to|string , predicted 1st: to|string
Original: show|value|dialog , predicted 1st: show|dialog
Original: run , predicted 1st: run
Original: action|performed , predicted 1st: action|performed
Original: action|performed , predicted 1st: action|performed
Original: get|name , predicted 1st: get|name
Original: get|parent , predicted 1st: get|path
Original: get|parent|file , predicted 1st: get|parent
Original: get|path , predicted 1st: get|name
Original: is|root , predicted 1st: is|empty
Original: is|absolute , predicted 1st: is|absolute
Original: get|absolute|path , predicted 1st: get|file|path
Original: get|absolute|file , predicted 1st: get|file
Original: get|canonical|path , predicted 1st: get|absolute|path
Original: get|canonical|file , predicted 1st: get|file
Original: can|read , predicted 1st: is
Original: can|write , predicted 1st: is
Original: exists , predicted 1st: is
Original: is|directory , predicted 1st: is
Original: is|file , predicted 1st: is
Original: is|hidden , predicted 1st: is
Original: last|modified , predicted 1st: get
Original: length , predicted 1st: get
Original: create|new|file , predicted 1st: ensure
Original: delete , predicted 1st: remove
Original: delete|on|exit , predicted 1st: foo
Original: list , predicted 1st: get
Original: list|files , predicted 1st: get|files|list
Original: list|files , predicted 1st: get|files
Original: mkdir , predicted 1st: check|exists
Original: mkdirs , predicted 1st: 
Original: rename|to , predicted 1st: do|rename
Original: set|last|modified , predicted 1st: is
Original: set|read|only , predicted 1st: is
Original: list|roots , predicted 1st: get|file|paths
Original: create|temp|file , predicted 1st: create|temp|file
Original: create|temp|file , predicted 1st: create|temp|file
Original: compare|to , predicted 1st: get
Original: equals , predicted 1st: equals
Original: hash|code , predicted 1st: hash|code
Original: to|string , predicted 1st: get|name
Original: set|texture|filter , predicted 1st: bind|filter
Original: set|mode|string , predicted 1st: set|mode
Original: create , predicted 1st: set|up
Original: touch|down , predicted 1st: set|mode
Original: dispose , predicted 1st: dispose
Original: render , predicted 1st: test
Original: render|sprite , predicted 1st: 
Original: dispose , predicted 1st: hide
Original: pause , predicted 1st: pause
Original: resume , predicted 1st: resume
Original: render , predicted 1st: run
Original: resize , predicted 1st: set
Original: set|screen , predicted 1st: set|screen
Original: get|screen , predicted 1st: get|screen
Original: mouse|clicked , predicted 1st: mouse|released
Original: action|performed , predicted 1st: action|performed
Original: action|performed , predicted 1st: action|performed
Original: update|active , predicted 1st: update|button
Original: update , predicted 1st: editor|added
Original: set|has|advanced , predicted 1st: set|has
Original: get|content|panel , predicted 1st: get|content|panel
Original: get|advanced|panel , predicted 1st: get|panel
Original: get|name , predicted 1st: get|name
Original: set|embedded , predicted 1st: update|panel
Original: initialize|components , predicted 1st: create|ui|panel
Original: create , predicted 1st: run
Original: render , predicted 1st: test
Original: load , predicted 1st: load
Original: get|gamepad , predicted 1st: get
Original: create , predicted 1st: foo
Original: resume , predicted 1st: foo
Original: render , predicted 1st: foo
Original: resize , predicted 1st: set|width
Original: pause , predicted 1st: foo
Original: dispose , predicted 1st: foo
Original: filter , predicted 1st: 
Original: add , predicted 1st: set|items
Original: add|all , predicted 1st: add
Original: add|all , predicted 1st: add|array
Original: add|all , predicted 1st: add
Original: add|all , predicted 1st: set|items
Original: get , predicted 1st: get
Original: set , predicted 1st: set|value
Original: incr , predicted 1st: set|value
Original: mul , predicted 1st: set|value
Original: insert , predicted 1st: set|value
Original: swap , predicted 1st: set|items
Original: contains , predicted 1st: is|float
Original: index|of , predicted 1st: get
Original: last|index|of , predicted 1st: get
Original: remove|value , predicted 1st: is
Original: remove|index , predicted 1st: get|value
Original: remove|range , predicted 1st: get|items
Original: remove|all , predicted 1st: size
Original: pop , predicted 1st: get|items
Original: peek , predicted 1st: get
Original: first , predicted 1st: get
Original: clear , predicted 1st: reset
Original: shrink , predicted 1st: get|items
Original: ensure|capacity , predicted 1st: get|items|items
Original: resize , predicted 1st: new|items
Original: sort , predicted 1st: sort
Original: reverse , predicted 1st: foo
Original: shuffle , predicted 1st: random
Original: truncate , predicted 1st: set|size
Original: random , predicted 1st: random
Original: to|array , predicted 1st: get|array|array
Original: hash|code , predicted 1st: hash|code
Original: equals , predicted 1st: equals
Original: equals , predicted 1st: equals
Original: to|string , predicted 1st: to|string
Original: to|string , predicted 1st: to|string
Original: with , predicted 1st: array|to|float|array
Original: create , predicted 1st: set|up
Original: render , predicted 1st: test
Original: animate , predicted 1st: 
Original: dispose , predicted 1st: dispose|resources
Original: needs|gl , predicted 1st: is
Original: resume , predicted 1st: foo
Original: resize , predicted 1st: set|width
Original: pause , predicted 1st: foo
Original: get|joint , predicted 1st: get
Original: get|joint , predicted 1st: get
Original: set|ratio , predicted 1st: set
Original: get|ratio , predicted 1st: get
Original: wrap , predicted 1st: to|byte|float
Original: as|read|only|buffer , predicted 1st: get|buffer
Original: compact , predicted 1st: buffer|to|buffer
Original: duplicate , predicted 1st: to|buffer
Original: get , predicted 1st: get|float
Original: get , predicted 1st: get|float
Original: is|direct , predicted 1st: is|direct
Original: is|read|only , predicted 1st: is|read|only
Original: order , predicted 1st: order
Original: protected|array , predicted 1st: get|float|values
Original: protected|array|offset , predicted 1st: get|column|count
Original: protected|has|array , predicted 1st: is
Original: put , predicted 1st: set|float
Original: put , predicted 1st: put|float
Original: slice , predicted 1st: to|buffer
Original: reset , predicted 1st: set
Original: get|type , predicted 1st: get|type|type
Original: get|shape , predicted 1st: get|shape
Original: set|sensor , predicted 1st: set
Original: is|sensor , predicted 1st: is
Original: set|filter|data , predicted 1st: set|filter|filter
Original: get|filter|data , predicted 1st: get|filter
Original: refilter , predicted 1st: 
Original: get|body , predicted 1st: get|body
Original: test|point , predicted 1st: 
Original: test|point , predicted 1st: point
Original: set|density , predicted 1st: set
Original: get|density , predicted 1st: get
Original: get|friction , predicted 1st: get
Original: set|friction , predicted 1st: set
Original: get|restitution , predicted 1st: get
Original: set|restitution , predicted 1st: set
Original: set|user|data , predicted 1st: set|user|data
Original: get|user|data , predicted 1st: get|user|data
Original: on|create , predicted 1st: initialize
Original: get|names , predicted 1st: get|names|names
Original: for|name , predicted 1st: find
Original: new|test , predicted 1st: get
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|user|value , predicted 1st: set|user|bridge
Original: get|user|value , predicted 1st: get|user|bridge
Original: set|contact|callback|flag , predicted 1st: set|bridge
Original: get|contact|callback|flag , predicted 1st: get|connection
Original: set|contact|callback|filter , predicted 1st: set|bridge
Original: get|contact|callback|filter , predicted 1st: get|connection
Original: get , predicted 1st: get|map
Original: get|initialized|array , predicted 1st: get
Original: create|world , predicted 1st: create|shape
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
